Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
BRST,BROAD STREET REALTY INC,OTCQX U.S.,2.300000,,0,Common Stock,USA,Maryland
BVHBB,BLUEGREEN VACATIONS CL B,OTCQX U.S.,27.250000,,0,Common Stock,USA,Florida
DVCR,DIVERSICARE HLTHCARE SVCS,OTCQX U.S.,9.900000,-0.100900,41986,Common Stock,USA,Tennessee
AXAS,ABRAXAS PETROLEUM CORP,OTCQX U.S.,1.750000,-5.405400,23076,Common Stock,USA,Texas
HSBI,HERITAGE SOUTHEAST BANCRP,OTCQX U.S.,26.100000,-0.191200,200,Common Stock,USA,Georgia
DPSI,DECISIONPOINT SYST INC,OTCQX U.S.,2.200000,,0,Common Stock,USA,California
INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,1.080000,0.000000,5178,Common Stock,USA,New Jersey
HRTH,HARTE HANKS INC,OTCQX U.S.,7.100000,-1.662000,8580,Common Stock,USA,Texas
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,2.300000,,0,Common Stock,USA,Tennessee
PLBN,PILOT BANCSHARES INC,OTCQX U.S.,6.140000,,0,Common Stock,USA,Florida
QEPC,Q.E.P. CO INC,OTCQX U.S.,22.970000,,31,Common Stock,USA,Florida
MVEN,THEMAVEN INC,OTCQX U.S.,0.550000,34.146300,3752,Common Stock,USA,New York
HCBC,HIGH COUNTRY BANCORP INC,OTCQX U.S.,45.480000,,0,Common Stock,USA,Colorado
IDXG,INTERPACE BIOSCIENCES INC,OTCQX U.S.,8.650000,1.764700,7266,Common Stock,USA,New Jersey
INVUP,INVESTVIEW INC PFD SER B,OTCQX U.S.,0.000000,,0,Preferred Stock,USA,New Jersey
ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S.,13.250000,,0,Common Stock,USA,Georgia
EMMA,EMMAUS LIFE SCIENCES INC,OTCQX U.S.,1.500000,1.351400,4850,Common Stock,USA,California
JDVB,JD BANCSHARES INC,OTCQX U.S.,27.500000,,0,Common Stock,USA,Louisiana
PFBX,PEOPLES FINCL CORP MISS,OTCQX U.S.,16.500000,,0,Common Stock,USA,Mississippi
LUMB,LUMBEE GUARANTY BK,OTCQX U.S.,12.150000,,0,Common Stock,USA,North Carolina
TRCK,TRACK GROUP INC,OTCQX U.S.,2.060000,,0,Common Stock,USA,Illinois
TBTC,TABLE TRAC INC,OTCQX U.S.,3.700000,,0,Common Stock,USA,Minnesota
OSTBP,OVERSTOCK PFD VTG SER B,OTCQX U.S.,54.010000,,0,Preferred Stock,USA,Utah
GRRB,GRANDSOUTH BNCRPRTN NEW,OTCQX U.S.,23.650000,,0,Common Stock,USA,South Carolina
UWHR,UWHARRIE CAPITAL CORP,OTCQX U.S.,9.740000,,0,Common Stock,USA,North Carolina
DMKBB,DENMARK BANCSHARES INC B,OTCQX U.S.,23.500000,,0,Common Stock,USA,Wisconsin
CIBH,CIB MARINE BANCSHARES,OTCQX U.S.,34.100000,0.000000,112,Common Stock,USA,Wisconsin
SIMP,SIMPLY INC,OTCQX U.S.,3.000000,-7.692300,20323,Common Stock,USA,Florida
ESBS,ES BANCSHARES INC (MD),OTCQX U.S.,5.170000,,0,Common Stock,USA,New York
UBAB,UNITED BNCRP OF AL INC  A,OTCQX U.S.,29.750000,,0,Common Stock,USA,Alabama
NCPL,NETCAPITAL INC,OTCQX U.S.,9.500000,-17.391300,400,Common Stock,USA,Massachusetts
LGIQ,LOGIQ INC,OTCQX U.S.,2.240000,-1.538500,71308,Foreign Ordinary Shares,USA,New York
ISCO,INTL STEM CELL CORP,OTCQX U.S.,0.500000,0.000000,5255,Common Stock,USA,California
TCNB,TOWN CENTER BANK (IL),OTCQX U.S.,3.840000,,25,Common Stock,USA,Illinois
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.128100,-1.271700,2673205,Common Stock,USA,Texas
ZNOGW,ZION OIL & GAS  INC WTS,OTCQX U.S.,4.000000,,0,Warrants,USA,Texas
USMT,US METRO BANCORP,OTCQX U.S.,4.120000,,0,Common Stock,USA,California
FTLF,FITLIFE BRANDS INC,OTCQX U.S.,55.000000,,12,Common Stock,USA,Nebraska
MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,40.000000,,0,Common Stock,USA,Mississippi
GNRV,GRAND RIVER COMMERCE INC,OTCQX U.S.,7.250000,0.000000,100,Common Stock,USA,Michigan
COSM,COSMOS HOLDINGS INC,OTCQX U.S.,4.300000,1.295600,16154,Common Stock,USA,Illinois
UNRV,UNRIVALED BRANDS INC,OTCQX U.S.,0.270340,-3.034400,859407,Common Stock,USA,California
INLB,ITEM 9 LABS CORP,OTCQX U.S.,1.310000,-9.655200,13387,Common Stock,USA,Arizona
MRMD,MARIMED INC,OTCQX U.S.,0.810000,-2.409600,569111,Common Stock,USA,Massachusetts
IQST,IQSTEL INC,OTCQX U.S.,0.425000,-4.257700,1037765,Common Stock,USA,Florida
